NIS,Commune,Latitude,Longitude
23077,Sint-Pieters-Leeuw,50.7810274240001,4.24455786100003
23081,Steenokkerzeel,50.9205486180001,4.50429401
23086,Ternat,50.8704574560001,4.18041060500002
23088,Vilvorde,50.9284024520001,4.42258046600006
23094,Zaventem,50.887288579,4.46613419500005
23096,Zemst,50.9845266820001,4.46455010700004
23097,Roosdaal,50.8431992060001,4.07498457800006
23098,Drogenbos,50.7866962350001,4.31707465700003
23099,Kraainem,50.8617126130001,4.46594258800008
23100,Linkebeek,50.773049675,4.33616574
23101,Rhode-Saint-Genèse,50.7453908090001,4.34594313500003
23102,Wemmel,50.9073543120001,4.30339363400003
23103,Wezembeek-Oppem,50.844732736,4.48596002800002
23104,Lennik,50.8058782730001,4.15465074100007
23105,Affligem,50.8962461930001,4.10987376200006
24001,Aarschot,50.985364874,4.83597817800006
