Commune,NIS,Latitude,Longitude
Balen,13003,51.1719738890001,5.17519547600006
Beerse,13004,51.3141164950001,4.85487541300006
Dessel,13006,51.239167815,5.11173267900006
Geel,13008,51.161328014,4.98697117700004
Grobbendonk,13010,51.1901779230001,4.73807242600003
Herentals,13011,51.1779164230001,4.84057773600006
Herenthout,13012,51.1405584610001,4.75527125300005
Herselt,13013,51.0527999890001,4.87992880600007
Hoogstraten,13014,51.4012260150001,4.76206580700006
Hulshout,13016,51.07576777,4.78813377400007
Kasterlee,13017,51.2412964310001,4.96823520300006
Laakdal,13053,51.0754173230001,5.02086766300005
Lille,13019,51.2402423400001,4.82437936200006
Meerhout,13021,51.132452711,5.07723638200002
Merksplas,13023,51.357750239,4.86272836300003
Mol,13025,51.186599384,5.12133989400007
Olen,13029,51.1436351020001,4.85960555100007
Oud-Turnhout,13031,51.317376413,4.98220951500002
Ravels,13035,51.4114008650001,5.00574038400003
Retie,13036,51.2679109160001,5.08445370800007
Rijkevorsel,13037,51.3503354200001,4.75841784300007
Turnhout,13040,51.3231044710001,4.94711834100002
Vorselaar,13044,51.201731963,4.77384056100004
Vosselaar,13046,51.3119810900001,4.88824608300007
Westerlo,13049,51.0903640810001,4.91229195
As,71002,51.0073316350001,5.58880542500003
Beringen,71004,51.0635488120001,5.21926589600002
Diepenbeek,71011,50.9084396970001,5.42020435800003
Genk,71016,50.9651960900001,5.49486328700004
Halen,71020,50.947533848,5.11434807100005
Ham,71069,51.101437763,5.14875360800005
Hasselt,71022,50.9309801950001,5.33691130400007
Herck-la-Ville,71024,50.9353280770001,5.16652760300002
Heusden-Zolder,71070,51.0242833400001,5.31395608800005
Bourg-Léopold,71034,51.119372823,5.26389321100004
Lummen,71037,50.986476484,5.19170813400007
Nieuwerkerken,71045,50.864919012,5.19311832200003
Oudsbergen,72042,51.0958586530001,5.52099119200005
Saint-Trond,71053,50.816664105,5.18137826500003
Tessenderlo,71057,51.068011476,5.08776428800007
Zonhoven,71066,50.9915534240001,5.36646918700006
Zutendaal,71067,50.93332501,5.57212232600006
Bocholt,72003,51.173756558,5.57922371
Bree,72004,51.1420402700001,5.59742597100006
Dilsen-Stokkem,72041,51.0370098500001,5.72587943
Hamont-Achel,72037,51.251051562,5.54554088900005
Hechtel-Eksel,72038,51.124584424,5.36601116100007
Houthalen-Helchteren,72039,51.0285412790001,5.37242227700006
Kinrooi,72018,51.1446033390001,5.77404298300007
Lommel,72020,51.2302956890001,5.30444545700004
Maaseik,72021,51.0951413770001,5.79213941400008
Pelt,72043,51.2110185,5.42303685
Peer,72030,51.132597397,5.44996594200006
Alken,73001,50.875287675,5.30579297300005
Bilzen,73006,50.8709416070001,5.51783418500003
Looz,73009,50.8015097270001,5.34557222
Heers,73022,50.7526822730001,5.29522445300006
Herstappe,73028,50.726463864,5.42600632
Hoeselt,73032,50.8501158180001,5.48742947900007
Kortessem,73040,50.8584673130001,5.39033754300004
Lanaken,73042,50.8892137300001,5.65204713400004
Maasmechelen,73107,50.963213726,5.69651572200007
Riemst,73066,50.812326446,5.59721394200005
Tongres,73083,50.780391417,5.46416869500007
Fourons,73109,50.7597148470001,5.75988997200005
Wellen,73098,50.8410061270001,5.33483969500003
Alost,41002,50.9385816760001,4.03939796
Denderleeuw,41011,50.8831916880001,4.08055677100003
Erpe-Mere,41082,50.923773447,3.94367166500007
Grammont,41018,50.7719911200001,3.88295173400007
Haaltert,41024,50.899989797,4.00471045900002
Herzele,41027,50.8846537570001,3.89300845300005
Lede,41034,50.9665297930001,3.97792758
Ninove,41048,50.8329831660001,4.01746370800004
Sint-Lievens-Houtem,41063,50.9203848550001,3.85951987600004
Zottegem,41081,50.869847603,3.81068509400006
Berlare,42003,51.025086064,4.00424389400007
Buggenhout,42004,51.015076315,4.20281487700004
Termonde,42006,51.0310621890001,4.09870052300005
Hamme,42008,51.097910208,4.13800399100006
